SWIFT|AND|INDIFFERENT,1
HOSPITABLE|AND|FESTIVE,1
MUCH|THAT|I,1
ALL|THE|GATE,1
OUT|HERE|IN,1
THE|STRETCHER|THE,1
THERE|THERE|WASN’T,1
NOT|EXTRAORDINARY|IN,1
YET|HE|CRIED,1
UNLESS|A|KIND,1
UNTITLED|THE|GREAT,1
LOOK|OF|BEING,1
LEADER|OF|THAT,1
I|ASKED|MYSELF,3
WOULD|NOT|BEGIN,1
BUTTED|ALL|DAY,1
CAME|TO|HIMSELF,1
BOUND|ON|OTHER,1
HIS|BACK|AND,1
DID|NOT|ASK,1
WERE|CERTAINLY|VERY,1
AS|THEIR|TALK,1
AGAIN|AND|HAD,1
STRENGTH|SEEMED|ALTOGETHER,1
OF|LOVE|IN,1
ENOUGH|DO|YOU,1
OUTCRY|IF|I,1
AND|TO|PUSH,1
OF|MINE|WOULD,1
BEST|I|REPEATED,1
THIS|RIVER|WITH,1
SAY|A|LITTLE,1
TO|BE|HANGED,1
THE|MONOTONOUS|BEATING,1
DISEASE|AND|STARVATION,1
ME|ONE|OF,1
MOST|HOPELESS|LOOKOUT,1
RIVER|BANK|WAS,1
AM|UNABLE|TO,1
I|HAVE|MOURNED,1
THEY|HAD|GIVEN,4
WHICH|CAME|IN,1
DOORSTEP|HIS|SHOULDERS,1
THE|WEST|BROODING,1
YOU|READ|THE,1
IN|EUROPE|I,1
IN|SNATCHES|THAT,1
AND|A|HALF,1
IT|NOT|OCCURRED,1
FOR|RELIEF|POSITIVELY,1
UP|WORRYING|MYSELF,1
HIS|HEAD|THEY,1
BRING|ANY|IMAGE,1
LONG|QUIET|CHAT,1
HE|DEVELOPED|A,1
MAP|BUT|THEY,1
INDISTINCTLY|AGAINST|THE,1
TROPICAL|DISEASES|HAD,1
BUT|STABBED|I,1
BE|LIKE|THIS,1
STAMPED|THEIR|FEET,1
DRAPED|IN|DARK,1
CONTORTED|COLLAPSE|AS,1
HIS|IN|A,1
TO|STARE|AT,1
YOUR|OWN|COAT,1
SERENITY|BECAME|LESS,1
WAS|AMAZING|AND,1
DAYS|AN|ETERNITY,1
YOU|LIKE|SAND,1
MY|EAR|AS,1
BEEN|MADE|OF,1
OR|FLOATED|IN,1
THE|DELICATE|SHADE,1
THE|SIXTY|PAIRS,1
BANK|BEHIND|THE,1
HAVE|A|LOT,1
NOT|STOP|HIM,1
SIGHT|OF|A,1
ITS|SPOILED|AND,1
BEFORE|A|MAHOGANY,1
HE|STEERED|WITH,1
FOR|THE|USE,1
